2,4,357,79,14,13,-1,-1,-1,0
3,4,339,84,11,12,-1,-1,-1,0
3,5,327,96,15,13,-1,-1,-1,0
4,4,330,85,11,13,-1,-1,-1,0
4,5,326,95,12,14,-1,-1,-1,0
5,4,324,92,10,14,-1,-1,-1,0
5,5,323,94,13,14,-1,-1,-1,0
5,8,347,74,13,17,-1,-1,-1,0
6,4,320,88,11,12,-1,-1,-1,0
6,5,321,94,9,13,-1,-1,-1,0
6,8,343,76,12,15,-1,-1,-1,0
7,4,332,83,9,11,-1,-1,-1,0
7,5,316,95,10,11,-1,-1,-1,0
7,8,340,75,12,16,-1,-1,-1,0
8,4,336,81,9,11,-1,-1,-1,0
8,5,315,95,9,10,-1,-1,-1,0
9,4,338,79,8,11,-1,-1,-1,0
9,5,314,95,9,10,-1,-1,-1,0
9,10,320,86,9,10,-1,-1,-1,0
10,4,338,77,9,11,-1,-1,-1,0
10,5,316,95,9,10,-1,-1,-1,0
10,10,321,85,9,10,-1,-1,-1,0
11,4,337,77,9,10,-1,-1,-1,0
11,5,312,91,13,14,-1,-1,-1,0
11,8,335,68,12,18,-1,-1,-1,0
12,5,313,89,10,17,-1,-1,-1,0
12,8,336,69,13,17,-1,-1,-1,0
13,5,316,80,14,16,-1,-1,-1,0
13,8,339,69,12,17,-1,-1,-1,0
