2,4,357,79,14,13,-1,-1,-1,0
3,4,333,92,15,13,-1,-1,-1,0
4,4,325,95,12,14,-1,-1,-1,0
4,7,331,85,11,12,-1,-1,-1,0
5,4,322,96,10,14,-1,-1,-1,0
5,7,328,84,11,13,-1,-1,-1,0
5,8,347,74,13,17,-1,-1,-1,0
6,4,319,96,9,13,-1,-1,-1,0
6,7,323,84,11,13,-1,-1,-1,0
6,8,343,76,12,15,-1,-1,-1,0
7,4,314,97,10,10,-1,-1,-1,0
7,7,320,86,9,11,-1,-1,-1,0
7,8,340,78,10,13,-1,-1,-1,0
8,4,313,97,9,10,-1,-1,-1,0
8,7,319,86,9,10,-1,-1,-1,0
8,8,339,79,9,11,-1,-1,-1,0
9,4,313,97,9,10,-1,-1,-1,0
9,7,319,86,9,10,-1,-1,-1,0
9,8,339,79,8,11,-1,-1,-1,0
10,4,315,96,8,10,-1,-1,-1,0
10,7,319,85,9,10,-1,-1,-1,0
10,8,339,77,8,11,-1,-1,-1,0
11,4,311,97,8,10,-1,-1,-1,0
11,7,318,80,9,12,-1,-1,-1,0
11,8,337,78,8,10,-1,-1,-1,0
12,7,316,76,12,15,-1,-1,-1,0
13,7,318,76,13,15,-1,-1,-1,0
13,9,316,89,11,17,-1,-1,-1,0
13,10,340,70,12,16,-1,-1,-1,0
14,7,320,77,14,14,-1,-1,-1,0
14,9,319,90,12,15,-1,-1,-1,0
14,10,343,70,12,16,-1,-1,-1,0
15,7,324,79,13,13,-1,-1,-1,0
15,9,323,91,12,13,-1,-1,-1,0
15,10,346,72,12,13,-1,-1,-1,0
16,7,326,80,12,12,-1,-1,-1,0
16,9,324,92,12,11,-1,-1,-1,0
16,10,347,73,12,12,-1,-1,-1,0
17,7,329,79,13,12,-1,-1,-1,0
17,9,328,90,12,12,-1,-1,-1,0
17,10,350,71,12,13,-1,-1,-1,0
18,7,334,77,12,12,-1,-1,-1,0
18,9,333,88,11,13,-1,-1,-1,0
18,10,355,69,11,13,-1,-1,-1,0
19,7,339,76,12,12,-1,-1,-1,0
19,9,338,87,11,13,-1,-1,-1,0
19,10,359,68,12,13,-1,-1,-1,0
20,7,345,74,12,12,-1,-1,-1,0
20,9,357,72,12,13,-1,-1,-1,0
20,10,350,79,12,13,-1,-1,-1,0
21,7,349,80,11,13,-1,-1,-1,0
21,9,355,72,12,12,-1,-1,-1,0
21,10,364,70,12,13,-1,-1,-1,0
22,7,350,82,12,13,-1,-1,-1,0
22,9,354,72,12,12,-1,-1,-1,0
22,10,369,66,12,13,-1,-1,-1,0
23,7,353,75,13,12,-1,-1,-1,0
23,9,353,78,11,13,-1,-1,-1,0
23,10,373,64,12,13,-1,-1,-1,0
24,7,358,72,12,12,-1,-1,-1,0
24,9,356,81,12,13,-1,-1,-1,0
24,10,378,64,12,12,-1,-1,-1,0
25,7,359,67,12,14,-1,-1,-1,0
25,9,355,79,15,14,-1,-1,-1,0
25,10,379,61,10,14,-1,-1,-1,0
26,7,358,74,13,14,-1,-1,-1,0
26,9,360,69,11,14,-1,-1,-1,0
26,10,380,59,10,15,-1,-1,-1,0
27,7,360,75,11,15,-1,-1,-1,0
27,9,363,66,11,13,-1,-1,-1,0
27,10,381,58,10,15,-1,-1,-1,0
28,7,363,69,12,13,-1,-1,-1,0
28,9,365,71,8,16,-1,-1,-1,0
28,10,383,57,10,15,-1,-1,-1,0
29,7,366,66,11,13,-1,-1,-1,0
29,9,366,73,9,15,-1,-1,-1,0
29,10,383,56,12,15,-1,-1,-1,0
30,7,369,65,11,13,-1,-1,-1,0
30,9,367,74,10,14,-1,-1,-1,0
30,10,385,56,11,14,-1,-1,-1,0
31,7,371,65,12,12,-1,-1,-1,0
31,9,369,74,11,14,-1,-1,-1,0
31,10,387,57,11,13,-1,-1,-1,0
32,7,373,66,12,12,-1,-1,-1,0
32,9,370,74,12,13,-1,-1,-1,0
32,10,388,57,13,13,-1,-1,-1,0
33,7,374,65,10,12,-1,-1,-1,0
33,9,370,74,12,15,-1,-1,-1,0
33,10,387,54,14,14,-1,-1,-1,0
34,7,379,63,11,13,-1,-1,-1,0
34,9,375,73,13,14,-1,-1,-1,0
34,10,393,51,13,15,-1,-1,-1,0
35,7,386,62,12,12,-1,-1,-1,0
35,9,384,71,12,14,-1,-1,-1,0
35,10,400,50,14,14,-1,-1,-1,0
36,7,404,52,13,13,-1,-1,-1,0
36,9,392,69,12,14,-1,-1,-1,0
36,10,400,56,13,13,-1,-1,-1,0
37,7,408,56,12,13,-1,-1,-1,0
37,9,402,67,12,14,-1,-1,-1,0
37,10,415,50,13,14,-1,-1,-1,0
38,7,416,57,12,12,-1,-1,-1,0
38,9,411,66,13,14,-1,-1,-1,0
38,10,428,47,11,13,-1,-1,-1,0
39,7,419,56,12,12,-1,-1,-1,0
39,9,416,66,12,13,-1,-1,-1,0
39,10,433,46,11,13,-1,-1,-1,0
